Genre,Budget,Marketing_Budget,Screens,Weeks,Shows,Ticket_Price,Screen_Stability,Actor_Popularity,Director_Success,Occupancy,Seats_Per_Screen,Target
Thriller,153,170,27092,2,13,714,Growing,7,6,0.8028213084330847,202,1
Western,395,69,29206,5,5,206,Stable,3,6,0.8366636955795024,177,0
Animation,325,79,8703,7,13,628,Drop Fast,3,9,0.584325552840069,102,0
Crime,191,183,1276,7,6,636,Growing,4,2,0.41273862621299673,187,0
Fantasy,39,167,7435,4,14,675,Growing,3,5,0.6697933023803113,227,1
Thriller,93,47,23421,7,2,787,Drop Fast,3,5,0.434644622090111,133,0
Documentary,175,33,16617,11,8,390,Stable,8,7,0.42868498059714144,138,1
Crime,293,169,2041,7,14,410,Stable,7,5,0.8153198343779091,227,1
Crime,290,85,4681,10,14,767,Stable,7,4,0.35798608470762916,118,0
Horror,105,190,25024,10,9,484,Stable,2,2,0.25386503488139356,157,0
Fantasy,390,58,1334,3,12,152,Stable,9,8,0.4857426519040944,170,0
Drama,275,43,23845,5,6,684,Drop Fast,6,5,0.593681768496521,239,1
Comedy,453,46,21882,10,3,282,Stable,3,4,0.7435562743267266,248,1
Biography,307,160,29665,5,9,468,Drop Fast,9,9,0.796780680323002,148,1
Romance,305,33,13339,9,11,112,Drop Fast,9,2,0.714463447793541,147,1
Comedy,234,175,23601,11,8,658,Drop Fast,6,3,0.6885562162218486,166,1
Action,342,135,7971,4,11,259,Stable,6,8,0.7160241056236045,100,0
Biography,370,142,8767,4,10,383,Stable,8,4,0.4400685623067693,231,0
Biography,383,191,9115,10,5,664,Growing,8,9,0.5176529260751974,223,1
Sport,51,146,14098,11,12,386,Growing,6,9,0.6815055506996951,111,1
Mystery,312,179,2113,9,10,107,Drop Fast,7,9,0.29589946224778096,233,1
Family,430,46,4497,2,5,171,Growing,4,1,0.4567277450474989,82,0
Animation,255,98,27268,11,4,197,Drop Fast,1,6,0.5344932613303571,161,1
Animation,217,164,2142,3,12,186,Growing,4,6,0.6234084779977551,200,0
Documentary,246,36,20588,4,4,200,Stable,8,8,0.5905374751526727,195,1
Biography,31,174,27120,3,11,380,Stable,8,7,0.7526923147077955,214,1
Western,194,164,17915,4,3,388,Drop Fast,2,7,0.5813986727915228,167,0
Drama,477,30,24474,9,11,295,Drop Fast,7,2,0.8828909886774922,223,1
